x,y,size,category
396.54545454545456,7.181818181818182,11.0,small
135.68421052631578,10.578947368421051,19.0,large
233.6153846153846,12.692307692307692,13.0,small
188.64285714285717,14.714285714285714,14.0,small
159.27272727272728,17.727272727272727,11.0,small
368.6363636363636,20.545454545454547,11.0,small
382.7,20.7,10.0,small
200.4,21.9,10.0,small
285.1578947368421,24.73684210526316,19.0,large
219.0,26.0,13.0,small
359.63157894736844,33.1578947368421,19.0,large
443.875,34.0,16.0,large
483.25,35.166666666666664,12.0,small
432.5,37.2,10.0,small
188.22222222222223,44.77777777777778,9.0,small
233.22222222222223,45.5,18.0,large
8.222222222222221,53.5,18.0,large
339.3333333333333,53.11111111111112,9.0,small
226.0,55.0,11.0,small
69.11111111111111,60.888888888888886,9.0,small
45.81818181818182,63.90909090909091,11.0,small
343.53846153846155,65.61538461538461,13.0,small
224.5,67.8,10.0,small
34.13333333333333,69.33333333333333,15.0,large
233.88888888888889,71.0,18.0,large
227.125,74.125,8.0,small
259.0869565217391,79.04347826086956,23.0,large
342.44444444444446,79.88888888888889,9.0,small
224.6086956521739,84.04347826086956,23.0,large
335.1111111111111,86.66666666666667,9.0,small
455.89473684210526,95.21052631578948,19.0,large
152.2,96.9,10.0,small
200.875,98.875,8.0,small
182.3636363636364,106.54545454545456,11.0,small
191.0909090909091,109.9090909090909,22.0,large
247.73684210526315,115.63157894736842,19.0,large
395.36,117.92,25.0,large
466.7142857142857,115.85714285714286,7.0,small
356.6363636363636,119.36363636363636,11.0,small
380.0,121.1818181818182,11.0,small
160.8421052631579,150.05263157894737,19.0,large
171.8095238095238,152.04761904761904,21.0,large
184.30769230769232,178.07692307692307,13.0,small
167.9,183.2,10.0,small
403.2083333333333,195.5,24.0,combination
26.55,202.8,20.0,large
55.9,212.5,20.0,large
203.1818181818182,217.72727272727272,11.0,small
155.16666666666666,225.0,12.0,small
63.09090909090909,229.63636363636363,11.0,small
502.5,237.5,14.0,small
145.92,258.44,25.0,large
231.7058823529412,261.29411764705884,17.0,large
469.2857142857143,268.42857142857144,14.0,small
73.81818181818181,285.8181818181818,11.0,small
150.5,285.8,10.0,small
500.0833333333333,294.25,12.0,small
411.61538461538464,297.38461538461536,13.0,small
195.7142857142857,303.0,7.0,small
323.55555555555554,306.55555555555554,9.0,small
17.72222222222222,312.6111111111111,18.0,large
487.3529411764706,312.94117647058823,17.0,small
441.7142857142857,321.0,7.0,small
67.44444444444444,334.1666666666667,18.0,large
70.875,343.875,8.0,small
85.125,351.125,8.0,small
175.25,352.7,20.0,large
467.5,362.57142857142856,14.0,small
399.8,365.0,10.0,small
73.125,374.125,8.0,small
75.5,381.5,6.0,small
220.5,392.7,10.0,small
22.2,409.7,10.0,small
69.83333333333333,413.1666666666667,6.0,small
258.1818181818182,413.3636363636364,11.0,small
64.0,415.2857142857143,7.0,small
56.09090909090909,418.6363636363636,11.0,small
48.5,425.0,8.0,small
270.75,425.125,8.0,small
40.66666666666666,431.77777777777777,9.0,small
72.9090909090909,443.3636363636364,11.0,small
301.5,443.7,10.0,small
487.6875,452.8125,16.0,large
158.36363636363637,468.09090909090907,11.0,small
359.1,479.2,10.0,small
365.1875,485.625,16.0,small
462.1111111111111,494.8888888888889,18.0,small
91.75,509.625,8.0,small
75.0,323.0,,small
