x,y,size,category
118.44444444444444,21.666666666666668,9.0,small
466.0,22.647058823529413,17.0,small
305.1666666666667,24.833333333333332,6.0,small
245.71428571428572,25.857142857142858,7.0,small
398.9230769230769,31.384615384615383,13.0,small
347.0,39.5,12.0,small
162.66666666666666,44.46666666666667,15.0,small
214.1818181818182,45.45454545454545,11.0,small
481.0,45.0,11.0,small
49.125,46.5,8.0,small
350.4,46.4,5.0,small
364.1666666666667,50.0,6.0,small
264.8888888888889,53.666666666666664,9.0,small
208.14285714285714,56.0,14.0,small
381.125,57.125,8.0,small
308.5,61.0,6.0,small
417.3636363636364,64.72727272727273,11.0,small
295.9166666666667,68.33333333333333,12.0,small
4.833333333333333,68.16666666666667,6.0,small
409.1,91.8,10.0,small
68.85,101.7,20.0,large
11.0,112.28571428571429,7.0,small
193.53846153846155,115.6923076923077,13.0,small
112.05263157894737,116.47368421052632,19.0,large
21.615384615384617,123.38461538461539,13.0,small
233.0,127.88235294117646,17.0,small
510.0,131.0,9.0,small
502.6,137.6,15.0,small
111.73684210526316,143.52631578947367,19.0,small
486.6666666666667,151.0,9.0,small
86.0,160.2,10.0,small
390.88235294117646,171.58823529411765,17.0,large
503.75,177.25,12.0,small
70.5,179.33333333333334,12.0,small
84.95,194.3,20.0,large
342.625,201.4375,16.0,small
10.25,228.375,16.0,small
197.11764705882354,230.47058823529412,17.0,small
239.8,231.5,10.0,small
188.27272727272728,246.0,11.0,small
88.5,250.0,8.0,small
294.04347826086956,251.7391304347826,23.0,large
148.0,256.0,15.0,small
185.125,255.125,8.0,small
10.5,265.5,14.0,small
43.0,266.0,9.0,small
95.6,266.1,10.0,small
253.0,273.0,7.0,small
99.3,276.8,10.0,small
357.55555555555554,282.55555555555554,9.0,small
145.3,288.3,10.0,small
139.33333333333334,320.22222222222223,9.0,small
323.1111111111111,322.8888888888889,18.0,large
169.73333333333332,331.3333333333333,15.0,small
149.5,338.125,8.0,small
436.3333333333333,358.55555555555554,9.0,small
462.6666666666667,363.3333333333333,12.0,small
234.77777777777777,376.6666666666667,9.0,small
435.5,387.5,14.0,small
435.9,400.2,10.0,small
502.0,403.0,9.0,small
459.44444444444446,410.1111111111111,9.0,small
229.55,420.7,20.0,large
481.6666666666667,422.55555555555554,9.0,small
21.11111111111111,424.3333333333333,9.0,small
104.94736842105263,424.57894736842104,19.0,large
13.642857142857142,432.7142857142857,14.0,large
27.1875,436.8125,16.0,large
238.5625,459.375,16.0,large
299.7142857142857,484.64285714285717,14.0,large
357.0,484.2857142857143,7.0,small
217.625,484.75,8.0,small
332.25,485.75,8.0,small
213.4,494.1333333333333,15.0,small
300.125,494.125,8.0,small
141.875,498.875,8.0,small
87.66666666666667,507.44444444444446,9.0,small
