x,y,size,category
33.5625,4.5625,16.0,small
195.7894736842105,4.947368421052632,19.0,large
19.916666666666668,7.25,12.0,small
85.13333333333334,11.466666666666669,15.0,small
143.85714285714286,125.8095238095238,21.0,large
77.57142857142857,142.42857142857142,14.0,large
194.26666666666668,145.0,15.0,small
207.1,145.2,10.0,small
73.57142857142857,146.71428571428572,7.0,small
116.5909090909091,159.4090909090909,22.0,large
486.11764705882354,162.58823529411765,17.0,large
98.65,164.65,20.0,large
413.61538461538464,169.6153846153846,13.0,small
422.1666666666667,172.05555555555554,18.0,large
305.25,177.41666666666666,12.0,small
182.7692307692308,187.69230769230768,13.0,small
122.35,195.5,20.0,large
480.07142857142856,200.7142857142857,14.0,small
38.53846153846154,203.0,13.0,small
413.5238095238095,230.3809523809524,21.0,large
12.333333333333334,246.75,12.0,small
110.35714285714286,255.92857142857144,14.0,small
374.7391304347826,285.69565217391306,23.0,large
82.57142857142857,292.6428571428572,14.0,small
331.3181818181818,303.8181818181818,22.0,large
279.7857142857143,312.35714285714283,14.0,small
91.73333333333332,314.2,15.0,small
371.5,320.8,10.0,small
31.7,337.7,20.0,large
361.60869565217394,341.5652173913044,23.0,large
43.526315789473685,349.3157894736842,19.0,small
297.05,376.1,20.0,large
273.04545454545456,381.1363636363636,22.0,large
130.6153846153846,385.38461538461536,13.0,small
478.2173913043478,397.0869565217391,23.0,large
93.73333333333332,397.4,15.0,small
73.7,398.8,10.0,small
58.45454545454545,401.8181818181818,11.0,small
117.8181818181818,406.27272727272725,11.0,small
413.61538461538464,408.38461538461536,13.0,small
166.5,412.8,10.0,small
35.72727272727273,426.95454545454544,22.0,large
166.5,428.6428571428572,14.0,small
380.6,431.9,20.0,large
504.7142857142857,431.4285714285714,14.0,small
245.2941176470588,433.4117647058824,34.0,large
14.846153846153848,450.5384615384616,13.0,small
419.7272727272728,460.54545454545456,22.0,large
5.923076923076923,464.61538461538464,13.0,small
163.33333333333334,482.77777777777777,27.0,combination
182.27272727272728,498.8181818181818,11.0,small
328.1875,503.8125,16.0,small
189.3846153846154,507.61538461538464,13.0,small
319.5,507.5,16.0,small
332.4,509.9,10.0,small
285.0,491.0,,large
