x,y,size,category
98.375,5.3125,16.0,small
295.3333333333333,13.25,12.0,small
307.8076923076923,20.73076923076923,26.0,large
114.5,20.285714285714285,14.0,small
115.0,26.333333333333332,9.0,small
483.6,29.6,15.0,small
433.45454545454544,32.63636363636363,11.0,small
115.5,32.8,10.0,small
470.69565217391306,33.78260869565217,23.0,large
493.2142857142857,33.642857142857146,14.0,small
505.9230769230769,41.0,13.0,small
431.46666666666664,46.13333333333333,15.0,small
232.66666666666666,47.083333333333336,12.0,small
220.0,55.5,12.0,small
83.10526315789474,58.421052631578945,19.0,large
300.1818181818182,63.27272727272727,11.0,small
431.11764705882354,63.411764705882355,17.0,small
505.09090909090907,66.9090909090909,22.0,large
170.5,67.5,18.0,large
180.875,71.125,8.0,small
441.2,73.5,10.0,small
199.1,80.3,20.0,large
103.08695652173913,84.56521739130434,23.0,large
239.92,98.92,25.0,large
204.5,110.08333333333333,12.0,small
196.92857142857142,115.85714285714286,14.0,small
42.0,115.71428571428571,7.0,small
190.78571428571428,120.78571428571429,14.0,small
265.0,120.6923076923077,13.0,small
49.35294117647059,127.52941176470588,17.0,large
279.5,127.5,12.0,small
173.0,136.66666666666666,18.0,large
168.5,145.0,18.0,large
168.78947368421052,153.0,19.0,large
213.0909090909091,167.95454545454547,22.0,large
177.9090909090909,172.63636363636363,11.0,small
271.9230769230769,173.69230769230768,13.0,small
189.28571428571428,176.32142857142858,28.0,small
114.28571428571429,181.07142857142858,14.0,small
212.92857142857142,181.92857142857142,14.0,small
95.11764705882354,184.23529411764707,17.0,small
197.77777777777777,183.11111111111111,9.0,small
203.28571428571428,185.5,14.0,small
133.64705882352942,193.47058823529412,17.0,small
334.53846153846155,198.53846153846155,13.0,small
451.25,203.58333333333334,12.0,small
272.39130434782606,207.43478260869566,23.0,large
228.92857142857142,218.78571428571428,14.0,small
418.8421052631579,226.47368421052633,19.0,large
233.21428571428572,226.21428571428572,14.0,small
418.38461538461536,246.76923076923077,13.0,small
56.095238095238095,255.8095238095238,21.0,large
63.64705882352941,255.76470588235293,17.0,large
115.58823529411765,256.11764705882354,17.0,large
327.8333333333333,270.44444444444446,18.0,large
29.307692307692307,272.53846153846155,13.0,small
152.5,273.2857142857143,14.0,small
245.17391304347825,274.4347826086956,23.0,large
350.05263157894734,274.3157894736842,19.0,large
42.18181818181818,299.27272727272725,11.0,small
175.91666666666666,314.8333333333333,12.0,small
91.42857142857143,316.5238095238095,21.0,large
174.25,331.4166666666667,12.0,small
435.07142857142856,332.42857142857144,14.0,small
216.0,334.0,23.0,large
304.3333333333333,335.9166666666667,12.0,small
359.3333333333333,341.25,12.0,small
48.714285714285715,344.5,14.0,small
145.6153846153846,349.2307692307692,13.0,small
388.84615384615387,349.9230769230769,13.0,small
8.666666666666666,357.0833333333333,12.0,small
65.95,359.9,20.0,large
19.5,366.5,12.0,small
314.77777777777777,367.05555555555554,18.0,large
143.42105263157896,369.4736842105263,19.0,large
89.86666666666666,378.6,15.0,small
220.875,379.125,8.0,small
340.72727272727275,384.8181818181818,11.0,small
195.61111111111111,388.77777777777777,18.0,large
335.2307692307692,399.2307692307692,13.0,small
431.06666666666666,406.8,15.0,small
325.7692307692308,408.7692307692308,13.0,small
91.15384615384616,413.53846153846155,13.0,small
149.3684210526316,415.4736842105263,19.0,large
218.75,415.3333333333333,12.0,small
317.6363636363636,414.90909090909093,11.0,small
263.1111111111111,437.1111111111111,9.0,small
217.25,442.4166666666667,12.0,small
252.57142857142858,445.42857142857144,14.0,small
375.75,455.75,12.0,small
50.5,457.0,8.0,small
46.73684210526316,465.3157894736842,19.0,small
428.25,475.625,16.0,small
46.7,475.8,10.0,small
503.9,477.95,20.0,large
195.46666666666667,495.1333333333333,15.0,small
182.14285714285714,498.35714285714283,14.0,small
398.9166666666667,500.3333333333333,12.0,small
