x,y,size,category
354.55555555555554,19.666666666666668,9.0,small
154.6153846153846,20.53846153846154,13.0,large
85.33333333333333,27.0,18.0,large
302.125,63.25,8.0,small
234.5,91.0,10.0,small
155.27777777777777,104.66666666666667,18.0,large
136.1,140.1,10.0,small
473.2,139.53333333333333,15.0,small
146.76923076923077,147.23076923076923,13.0,small
238.58823529411765,154.05882352941177,17.0,large
284.44444444444446,168.22222222222223,9.0,small
400.7142857142857,168.92857142857142,14.0,large
385.9230769230769,174.0,13.0,small
121.625,183.0,16.0,large
194.52941176470588,183.8235294117647,17.0,large
103.75,195.5625,16.0,large
113.56521739130434,208.69565217391303,23.0,large
440.26666666666665,217.13333333333333,15.0,large
77.17647058823529,219.76470588235293,17.0,large
438.4,250.5,10.0,small
430.27272727272725,260.90909090909093,11.0,small
61.266666666666666,290.1333333333333,15.0,small
388.9,290.2,10.0,small
27.0,297.7142857142857,7.0,small
406.375,302.875,8.0,small
150.2,306.6,5.0,small
123.45454545454545,311.8181818181818,11.0,small
316.375,315.25,16.0,large
194.55,322.1,20.0,large
382.9230769230769,324.61538461538464,13.0,small
123.5,326.0,18.0,large
474.44444444444446,334.55555555555554,9.0,small
377.4166666666667,335.6666666666667,12.0,small
233.23076923076923,336.3076923076923,13.0,large
152.06666666666666,340.6,15.0,large
499.44444444444446,346.77777777777777,9.0,small
349.4117647058824,349.11764705882354,17.0,large
331.0833333333333,352.6666666666667,12.0,large
118.53846153846153,359.84615384615387,13.0,small
405.68,372.0,25.0,large
228.45454545454547,381.27272727272725,11.0,small
346.3333333333333,382.1111111111111,9.0,small
488.5,382.875,8.0,small
165.125,388.875,8.0,small
251.6,390.06666666666666,15.0,small
447.8333333333333,391.8333333333333,12.0,small
145.58333333333334,400.75,12.0,small
460.2,400.3333333333333,15.0,large
474.89473684210526,401.4736842105263,19.0,large
240.16666666666666,403.8333333333333,6.0,small
135.5,410.3,10.0,small
87.8,418.1,10.0,small
467.8888888888889,420.8333333333333,18.0,large
488.5833333333333,432.25,12.0,small
58.44444444444444,436.6666666666667,9.0,small
497.125,441.125,8.0,small
363.8,442.5,10.0,small
505.7142857142857,443.0,7.0,small
191.56,451.28,25.0,large
261.5,455.0,16.0,large
11.277777777777779,466.77777777777777,18.0,large
408.1111111111111,466.55555555555554,9.0,small
73.78571428571429,494.5,14.0,large
89.23076923076923,498.2307692307692,13.0,large
103.47058823529412,500.88235294117646,17.0,large
