x,y,size,category
287.2307692307692,2.769230769230769,13.0,small
346.4782608695652,7.608695652173913,23.0,large
138.1818181818182,13.090909090909092,11.0,small
26.583333333333332,24.25,12.0,small
478.61538461538464,43.38461538461539,13.0,small
114.95238095238095,68.38095238095238,21.0,large
39.89655172413793,76.48275862068965,29.0,large
478.1,95.2,10.0,small
438.05,101.9,20.0,large
417.2,106.0,10.0,small
348.45,123.1,20.0,large
372.0,178.0,21.0,large
375.9,193.1,20.0,large
323.45454545454544,193.36363636363637,11.0,small
320.1875,199.3125,16.0,small
77.3,201.2,20.0,large
138.27272727272728,260.1818181818182,22.0,large
63.2,266.6666666666667,30.0,large
286.09090909090907,284.90909090909093,22.0,large
309.7647058823529,295.11764705882354,17.0,small
20.23076923076923,307.61538461538464,13.0,small
281.7142857142857,316.2142857142857,14.0,small
173.15384615384616,318.0,13.0,small
396.0833333333333,338.3333333333333,12.0,small
48.16,341.68,25.0,large
460.0769230769231,340.61538461538464,13.0,small
335.6818181818182,346.1363636363636,22.0,large
26.85,350.3,20.0,large
474.1904761904762,352.14285714285717,21.0,large
487.46666666666664,356.0,15.0,small
383.45454545454544,359.59090909090907,22.0,large
76.6086956521739,394.0,23.0,large
457.625,400.875,16.0,small
56.05263157894737,402.3157894736842,19.0,large
49.30434782608695,409.0869565217391,23.0,large
40.23809523809524,434.95238095238096,21.0,large
148.15384615384616,466.38461538461536,13.0,small
508.5625,471.6875,16.0,small
447.60869565217394,475.2608695652174,23.0,large
377.22727272727275,476.6818181818182,22.0,large
373.0769230769231,489.9230769230769,13.0,small
448.72727272727275,504.27272727272725,11.0,small
