x,y,size,category
425.9,22.8,10.0,small
304.0,29.0,9.0,small
439.4166666666667,29.833333333333332,12.0,small
65.94444444444444,39.77777777777778,18.0,large
322.0,50.2,10.0,small
283.05,57.1,20.0,large
295.7,58.3,10.0,small
320.0769230769231,66.76923076923077,13.0,small
310.6363636363636,85.9090909090909,11.0,small
253.4,93.6,15.0,large
495.2142857142857,101.92857142857143,14.0,small
312.25,102.33333333333333,12.0,small
199.25,106.33333333333333,12.0,small
263.77777777777777,109.5,18.0,large
507.6666666666667,118.11111111111111,9.0,small
297.5,119.8,10.0,small
181.0,123.5,10.0,small
477.25,130.25,12.0,small
94.27777777777777,132.11111111111111,18.0,large
226.64285714285714,131.92857142857142,14.0,small
499.0,131.8,10.0,small
101.66666666666667,140.27777777777777,18.0,large
414.1,141.9,10.0,small
457.0,142.2,10.0,small
255.94736842105263,151.21052631578948,19.0,large
476.06060606060606,155.24242424242425,33.0,combination
415.0,164.10526315789474,19.0,large
146.61111111111111,172.88888888888889,18.0,large
288.90909090909093,175.63636363636363,11.0,small
444.53846153846155,176.30769230769232,13.0,small
452.1666666666667,196.08333333333334,12.0,small
162.23809523809524,201.04761904761904,21.0,large
326.0,214.78947368421052,19.0,large
193.05,221.1,20.0,large
455.54545454545456,221.9090909090909,11.0,small
412.6666666666667,231.08333333333334,12.0,small
65.11111111111111,245.22222222222223,9.0,small
414.5625,245.75,16.0,large
363.44444444444446,248.77777777777777,9.0,small
400.38461538461536,251.3846153846154,13.0,small
390.0,253.0,9.0,small
86.08333333333333,254.66666666666666,12.0,small
103.91666666666667,265.4166666666667,12.0,small
314.54545454545456,284.1818181818182,11.0,small
4.052631578947368,291.2105263157895,19.0,large
185.0,291.8,10.0,small
226.36363636363637,299.90909090909093,11.0,small
77.54838709677419,304.80645161290323,31.0,large
383.6363636363636,304.90909090909093,11.0,small
208.2173913043478,306.60869565217394,23.0,large
60.3,307.55,20.0,large
213.36363636363637,319.09090909090907,11.0,small
407.94117647058823,331.1764705882353,17.0,small
106.8,331.0,10.0,small
375.1333333333333,340.53333333333336,15.0,small
103.08333333333333,343.8333333333333,12.0,small
330.63157894736844,352.7368421052632,19.0,large
212.26923076923077,354.84615384615387,26.0,large
277.25,358.75,12.0,small
42.0,372.7142857142857,7.0,small
47.81818181818182,376.72727272727275,11.0,small
255.0,383.8,10.0,small
390.1818181818182,393.54545454545456,11.0,small
196.2,418.9,10.0,small
442.2,422.5,10.0,small
313.2142857142857,425.35714285714283,14.0,small
484.0,427.0,21.0,large
372.64285714285717,431.5,14.0,small
44.86666666666667,433.53333333333336,15.0,large
133.0,438.8333333333333,12.0,small
237.3448275862069,445.2413793103448,29.0,combination
374.8,442.9,10.0,small
174.91666666666666,452.0,12.0,small
103.5,453.2857142857143,14.0,small
379.5,459.8,10.0,small
490.1666666666667,462.8333333333333,12.0,small
52.1,463.6,10.0,small
190.38888888888889,470.3333333333333,18.0,large
474.05555555555554,469.55555555555554,18.0,large
99.66666666666667,480.6666666666667,18.0,large
509.5,481.7,10.0,small
504.7,486.95,20.0,large
413.75,489.05,20.0,large
398.27272727272725,491.8181818181818,11.0,small
429.3636363636364,505.90909090909093,11.0,small
493.6666666666667,510.0,9.0,small
