x,y,size,category
193.0909090909091,5.954545454545454,22.0,large
409.75,9.4375,16.0,large
81.07692307692308,17.46153846153846,26.0,large
340.7,15.7,10.0,small
87.0,25.0,9.0,small
350.5,27.2,10.0,small
369.5925925925926,34.0,27.0,large
247.0909090909091,47.36363636363637,11.0,small
378.6363636363636,89.0909090909091,11.0,small
301.6,91.6,15.0,large
501.27777777777777,94.16666666666667,18.0,large
117.47058823529412,97.82352941176471,17.0,large
261.8333333333333,103.88888888888889,18.0,large
113.7,108.7,10.0,small
488.5,126.0,20.0,large
399.4,130.6,15.0,large
131.86666666666667,133.53333333333333,15.0,large
41.0,197.6,10.0,small
455.3333333333333,206.11111111111111,9.0,small
7.181818181818182,207.8181818181818,11.0,small
282.22222222222223,210.5,18.0,large
174.77777777777777,228.33333333333334,9.0,small
483.8,251.0,10.0,small
228.72222222222223,270.8888888888889,18.0,large
493.88235294117646,271.8235294117647,17.0,large
14.0,271.5,6.0,small
204.0,280.0,9.0,small
367.1666666666667,338.72222222222223,18.0,large
117.76470588235294,361.7647058823529,17.0,large
200.7,365.1,10.0,small
430.4166666666667,388.25,12.0,small
69.84210526315789,399.8421052631579,19.0,large
182.0,419.3333333333333,18.0,large
242.13333333333333,432.53333333333336,15.0,large
432.6363636363636,443.45454545454544,11.0,small
51.214285714285715,457.57142857142856,14.0,small
59.12,462.84,25.0,large
319.9,461.05,20.0,large
422.54545454545456,468.3636363636364,11.0,small
49.411764705882355,480.11764705882354,17.0,large
114.11111111111111,492.77777777777777,9.0,small
