x,y,size,category
123.3076923076923,1.9230769230769231,13.0,large
212.11111111111111,2.4444444444444446,9.0,small
337.09090909090907,27.0,11.0,small
123.05263157894737,29.105263157894736,19.0,large
296.3,36.15,20.0,large
466.5238095238095,38.38095238095238,21.0,large
364.5,40.9,10.0,small
144.84615384615384,42.92307692307692,13.0,small
77.14285714285714,44.357142857142854,14.0,small
176.63636363636363,46.18181818181818,11.0,small
277.27272727272725,68.63636363636364,11.0,small
78.47368421052632,72.57894736842105,19.0,large
290.94444444444446,77.88888888888889,18.0,large
23.933333333333334,81.4,15.0,large
23.933333333333334,81.4,15.0,large
176.08333333333334,95.83333333333333,12.0,small
485.75,107.83333333333333,12.0,small
56.111111111111114,127.88888888888889,9.0,small
128.2,133.75,20.0,large
69.47368421052632,134.1578947368421,19.0,large
96.6,134.4,10.0,small
470.1363636363636,139.54545454545453,22.0,large
316.2105263157895,142.78947368421052,19.0,large
23.5,144.5,12.0,small
226.9090909090909,158.0,11.0,small
120.5,164.875,16.0,small
81.33333333333333,171.57142857142858,21.0,large
431.625,172.5,8.0,small
121.61904761904762,176.42857142857142,21.0,large
461.4117647058824,181.2941176470588,17.0,large
130.0,183.55,20.0,large
480.57142857142856,193.04761904761904,21.0,large
256.3636363636364,198.45454545454547,11.0,small
269.1111111111111,198.66666666666666,9.0,small
207.1818181818182,207.45454545454547,11.0,small
219.08333333333334,210.66666666666666,12.0,small
125.41176470588235,215.2941176470588,17.0,large
244.5,215.8,10.0,small
220.83333333333334,217.83333333333334,6.0,small
268.0,222.72727272727272,11.0,small
422.5,226.5,16.0,large
288.0625,235.25,16.0,large
436.6666666666667,235.08333333333334,12.0,small
311.4,249.2,5.0,small
454.04761904761904,250.23809523809524,21.0,large
47.5,262.55555555555554,18.0,large
151.0909090909091,268.27272727272725,11.0,small
188.91666666666666,268.1666666666667,12.0,small
184.375,272.5,8.0,small
167.8,273.5,10.0,small
296.2857142857143,276.76190476190476,21.0,large
287.77777777777777,284.0,9.0,small
369.9230769230769,290.61538461538464,13.0,small
281.5,290.3,10.0,small
470.5,295.0,18.0,large
276.26666666666665,296.1333333333333,15.0,large
500.17391304347825,303.0,23.0,large
407.0833333333333,306.3333333333333,12.0,small
168.76923076923077,327.53846153846155,13.0,small
222.5,335.0,12.0,small
44.77777777777778,337.1111111111111,9.0,small
26.363636363636363,338.54545454545456,11.0,small
375.0,344.5,14.0,small
471.9,344.3,10.0,small
26.25,365.3,20.0,large
44.1,364.8,10.0,small
264.6666666666667,366.0952380952381,21.0,large
256.6818181818182,377.72727272727275,22.0,large
457.0625,377.8125,16.0,small
344.1,383.8,10.0,small
439.57894736842104,385.0,19.0,large
386.625,383.75,8.0,small
384.75,388.875,16.0,small
236.47058823529412,410.70588235294116,17.0,large
115.25,417.5,8.0,small
203.5,418.0,10.0,small
377.6666666666667,433.1111111111111,9.0,small
74.73333333333333,446.3333333333333,15.0,large
387.35714285714283,445.92857142857144,14.0,small
455.625,451.75,8.0,small
465.1111111111111,454.3333333333333,9.0,small
446.73333333333335,455.73333333333335,15.0,small
22.4,458.25,20.0,large
92.36842105263158,459.1578947368421,19.0,large
487.8666666666667,460.46666666666664,15.0,large
481.29411764705884,463.0,17.0,combination
213.625,465.625,8.0,small
255.55555555555554,468.77777777777777,18.0,large
257.7,482.7,10.0,small
396.125,485.625,24.0,large
490.57894736842104,487.57894736842104,19.0,large
238.0,490.04545454545456,22.0,large
202.3846153846154,493.15384615384613,13.0,small
456.0833333333333,509.3333333333333,12.0,large
