x,y,size,category
429.7692307692308,15.615384615384615,13.0,large
356.5263157894737,20.894736842105264,19.0,large
60.18181818181818,22.90909090909091,11.0,small
424.25,35.333333333333336,12.0,large
503.0,48.0,11.0,large
419.5,53.285714285714285,14.0,large
37.91304347826087,69.56521739130434,23.0,large
327.0833333333333,70.0,12.0,small
271.90909090909093,71.63636363636364,11.0,small
94.45,83.25,20.0,large
508.6666666666667,89.44444444444444,18.0,large
325.0,92.0,21.0,large
310.6470588235294,94.05882352941177,17.0,large
339.05555555555554,100.27777777777777,18.0,large
193.0909090909091,100.36363636363636,11.0,small
153.63636363636363,110.9090909090909,11.0,small
464.5,112.5,12.0,small
333.0,120.5,10.0,small
145.9090909090909,127.63636363636364,11.0,small
297.7142857142857,128.33333333333334,21.0,large
423.3076923076923,130.07692307692307,13.0,small
31.90909090909091,134.63636363636363,11.0,small
418.5,143.5,12.0,small
334.4,155.25,20.0,large
482.2,162.25,20.0,large
151.75,162.58333333333334,12.0,small
383.85714285714283,166.0,21.0,large
444.0,167.8,10.0,small
433.5,169.83333333333334,12.0,small
200.28571428571428,172.21428571428572,14.0,small
58.9,176.9,20.0,large
260.1904761904762,183.04761904761904,21.0,large
133.11764705882354,185.64705882352942,17.0,large
166.72727272727272,195.0909090909091,11.0,small
305.6190476190476,195.71428571428572,21.0,large
267.6666666666667,215.83333333333334,18.0,large
178.66666666666666,217.88888888888889,18.0,large
302.8181818181818,218.0909090909091,11.0,small
334.3333333333333,219.125,24.0,large
268.25,232.41666666666666,12.0,small
207.3,238.6,10.0,small
234.08333333333334,242.66666666666666,12.0,small
249.33333333333334,243.66666666666666,12.0,small
325.2857142857143,263.14285714285717,14.0,small
401.82608695652175,271.30434782608694,23.0,large
4.214285714285714,271.2857142857143,14.0,small
456.8181818181818,274.1818181818182,11.0,small
339.5882352941176,278.11764705882354,17.0,large
429.0,277.35714285714283,14.0,small
355.8181818181818,278.1818181818182,11.0,small
246.10526315789474,286.05263157894734,19.0,large
424.84615384615387,286.46153846153845,13.0,small
371.9,288.05,20.0,large
243.93333333333334,319.8,15.0,small
387.8181818181818,332.45454545454544,11.0,small
304.72727272727275,345.8181818181818,11.0,small
425.8,361.45,20.0,large
226.08333333333334,366.1666666666667,12.0,small
421.3333333333333,387.6666666666667,12.0,small
200.25,399.05,20.0,large
494.9230769230769,398.6923076923077,13.0,small
6.071428571428571,405.2142857142857,14.0,small
104.81818181818181,427.45454545454544,11.0,small
115.8,428.0,10.0,small
285.75,428.8333333333333,12.0,small
123.5,431.5,12.0,small
275.0,431.0,9.0,small
238.5,440.6,10.0,small
308.2,440.0,10.0,small
316.88235294117646,458.29411764705884,17.0,large
86.0,466.8181818181818,11.0,small
165.23529411764707,472.70588235294116,17.0,large
67.83333333333333,492.44444444444446,18.0,large
223.66666666666666,491.1111111111111,9.0,small
156.625,506.375,8.0,small
338.8181818181818,509.72727272727275,11.0,small
